pft,par.names,par.prior,par.lower,par.upper,par.pftspecif,check,comment,sensitivity
PoH,TMIN_SL_PoH,0.13,0.1,1.94,TRUE,WAHRWAHR,LPJmL default,S
PoH,TMIN_BASE_PoH,2.79,-50,50,TRUE,WAHRWAHR,LPJmL default,S
PoH,TMIN_TAU_PoH,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
PoH,TMAX_SL_PoH,0.24,0.01,3,TRUE,WAHRWAHR,LPJmL default,N
PoH,TMAX_BASE_PoH,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
PoH,TMAX_TAU_PoH,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
PoH,LIGHT_SL_PoH,23,0.05,160,TRUE,WAHRWAHR,LPJmL default,S
PoH,LIGHT_BASE_PoH,50,-100,200,TRUE,WAHRWAHR,LPJmL default,S
PoH,LIGHT_TAU_PoH,0.38,0.01,0.88,TRUE,WAHRWAHR,LPJmL default,S
PoH,WATER_SL_PoH,0.88,0.1,8.26,TRUE,WAHRWAHR,LPJmL default,S
PoH,WATER_BASE_PoH,1,-100,100,TRUE,WAHRWAHR,LPJmL default,S
PoH,WATER_TAU_PoH,0.94,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
PoH,RAMP_PoH,100,1,150,TRUE,WAHRWAHR,LPJmL default,N
PoH,TWMAX_PoH,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
global,ALPHAC3,0.08,0.07,0.09,FALSE,WAHRWAHR,LPJmL default,S
global,ALPHAC4,0.053,0.05,0.06,FALSE,WAHRWAHR,LPJmL default,S
TrBE,GDD_MIN_TrBE,5928.8,3000,8000,TRUE,WAHRWAHR,BCL analysis,S
TeBE,GDD_MIN_TeBE,3000,0,5000,TRUE,WAHRWAHR,BCL analysis,S
TrBR,GDD_MIN_TrBR,5171,3000,7000,TRUE,WAHRWAHR,BCL analysis,S
TeBS,GDD_MIN_TeBS,3000,1000,5000,TRUE,WAHRWAHR,BCL analysis,S
BoBS,GDD_MIN_BoBS,1500,300,3000,TRUE,WAHRWAHR,BCL analysis,S
TeNE,GDD_MIN_TeNE,3000,1000,4000,TRUE,WAHRWAHR,BCL analysis,S
BoNE,GDD_MIN_BoNE,416.05,0,1500,TRUE,WAHRWAHR,BCL analysis,S
BoNS,GDD_MIN_BoNS,358.05,0,1500,TRUE,WAHRWAHR,BCL analysis,S
TrH,GDD_MIN_TrH,5000,1000,6000,TRUE,WAHRWAHR,BCL analysis,S
TeH,GDD_MIN_TeH,1106.28,500,2000,TRUE,WAHRWAHR,BCL analysis,S
PoH,GDD_MIN_PoH,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
TrBE,TC_MIN_TrBE,7.9,0,15,TRUE,WAHRWAHR,BCL analysis,S
TeBE,TC_MIN_TeBE,0,-60,10,TRUE,WAHRWAHR,BCL analysis,S
TrBR,TC_MIN_TrBR,10,-5,20,TRUE,WAHRWAHR,BCL analysis,S
TeBS,TC_MIN_TeBS,-15,-30,-5,TRUE,WAHRWAHR,BCL analysis,S
BoBS,TC_MIN_BoBS,-35,-60,-20,TRUE,WAHRWAHR,BCL analysis,S
TeNE,TC_MIN_TeNE,-10,-30,5,TRUE,WAHRWAHR,BCL analysis,S
BoNE,TC_MIN_BoNE,-40,-60,-20,TRUE,WAHRWAHR,BCL analysis,S
BoNS,TC_MIN_BoNS,-53.4,-60,-40,TRUE,WAHRWAHR,BCL analysis,S
TrH,TC_MIN_TrH,10,-40,20,TRUE,WAHRWAHR,BCL analysis,S
TeH,TC_MIN_TeH,-35.7,-40,20,TRUE,WAHRWAHR,BCL analysis,S
PoH,TC_MIN_PoH,-47,-60,-20,TRUE,WAHRWAHR,BCL analysis,S
TrBE,TC_MAX_TrBE,1000,999,1001,TRUE,WAHRWAHR,BCL analysis,N
TeBE,TC_MAX_TeBE,18.8,15,28,TRUE,WAHRWAHR,BCL analysis,S
TrBR,TC_MAX_TrBR,1000,999,1001,TRUE,WAHRWAHR,BCL analysis,N
TeBS,TC_MAX_TeBS,15.5,10,25,TRUE,WAHRWAHR,BCL analysis,S
BoBS,TC_MAX_BoBS,2.8,-5,10,TRUE,WAHRWAHR,BCL analysis,S
TeNE,TC_MAX_TeNE,22,15,30,TRUE,WAHRWAHR,BCL analysis,S
BoNE,TC_MAX_BoNE,1.7,-5,10,TRUE,WAHRWAHR,BCL analysis,S
BoNS,TC_MAX_BoNS,-20,-30,5,TRUE,WAHRWAHR,BCL analysis,S
TrH,TC_MAX_TrH,1000,999,1001,TRUE,WAHRWAHR,BCL analysis,N
TeH,TC_MAX_TeH,15.5,10,25,TRUE,WAHRWAHR,BCL analysis,S
PoH,TC_MAX_PoH,0,-10,10,TRUE,WAHRWAHR,BCL analysis,S
TrBE,TWC_MIN_TrBE,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
TeBE,TWC_MIN_TeBE,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
TrBR,TWC_MIN_TrBR,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
TeBS,TWC_MIN_TeBS,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
BoBS,TWC_MIN_BoBS,13.9,5,25,TRUE,WAHRWAHR,BCL analysis,S
TeNE,TWC_MIN_TeNE,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
BoNE,TWC_MIN_BoNE,14.35,10,20,TRUE,WAHRWAHR,BCL analysis,S
BoNS,TWC_MIN_BoNS,35,20,50,TRUE,WAHRWAHR,BCL analysis,S
TrH,TWC_MIN_TrH,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
TeH,TWC_MIN_TeH,-1000,-1001,-999,TRUE,WAHRWAHR,BCL analysis,N
PoH,TWC_MIN_PoH,10,-1,20,TRUE,WAHRWAHR,BCL analysis,S
